MMM YYYY KRW/USD
Jan 2004 1183.11
Feb 2004 1166.84
Mar 2004 1165.66
Apr 2004 1152.90
May 2004 1176.30
Jun 2004 1158.59
Jul 2004 1158.37
Aug 2004 1157.16
Sep 2004 1148.22
Oct 2004 1141.49
Nov 2004 1085.62
Dec 2004 1051.30
Jan 2005 1038.34
Feb 2005 1023.40
Mar 2005 1007.92
Apr 2005 1010.13
May 2005 1002.19
Jun 2005 1012.17
Jul 2005 1036.98
Aug 2005 1021.58
Sep 2005 1029.96
Oct 2005 1046.90
Nov 2005 1041.23
Dec 2005 1023.07
Jan 2006 982.06
Feb 2006 969.86
Mar 2006 974.93
Apr 2006 952.63
May 2006 940.94
Jun 2006 954.69
Jul 2006 951.14
Aug 2006 961.21
Sep 2006 952.41
Oct 2006 952.95
Nov 2006 935.52
Dec 2006 925.14
Jan 2007 936.94
Feb 2007 937.07
Mar 2007 943.22
Apr 2007 930.76
May 2007 927.45
Jun 2007 928.20
Jul 2007 918.42
Aug 2007 935.26
Sep 2007 928.80
Oct 2007 915.04
Nov 2007 918.39
Dec 2007 931.01
Jan 2008 942.75
Feb 2008 944.05
Mar 2008 981.08
Apr 2008 987.15
May 2008 1035.54
Jun 2008 1031.81
Jul 2008 1015.28
Aug 2008 1048.19
Sep 2008 1135.04
Oct 2008 1326.89
Nov 2008 1402.82
Dec 2008 1366.25
Jan 2009 1356.61
Feb 2009 1440.75
Mar 2009 1452.53
Apr 2009 1333.74
May 2009 1255.11
Jun 2009 1262.62
Jul 2009 1261.80
Aug 2009 1240.84
Sep 2009 1212.89
Oct 2009 1174.92
Nov 2009 1163.37
Dec 2009 1164.72
Jan 2010 1138.09
Feb 2010 1156.39
Mar 2010 1136.40
Apr 2010 1115.42
May 2010 1164.74
Jun 2010 1214.82
Jul 2010 1204.07
Aug 2010 1180.74
Sep 2010 1161.52
Oct 2010 1122.67
Nov 2010 1131.27
Dec 2010 1145.46
Jan 2011 1119.09
Feb 2011 1118.29
Mar 2011 1120.27
Apr 2011 1084.45
May 2011 1083.90
Jun 2011 1080.92
Jul 2011 1057.85
Aug 2011 1075.28
Sep 2011 1122.45
Oct 2011 1151.08
Nov 2011 1134.92
Dec 2011 1148.28
Jan 2012 1141.62
Feb 2012 1122.95
Mar 2012 1126.56
Apr 2012 1135.61
May 2012 1157.02
Jun 2012 1164.02
Jul 2012 1142.44
Aug 2012 1132.30
Sep 2012 1123.69
Oct 2012 1106.09
Nov 2012 1087.58
Dec 2012 1076.14
Jan 2013 1067.11
Feb 2013 1087.87
Mar 2013 1102.86
Apr 2013 1121.32
May 2013 1112.03
Jun 2013 1135.56
Jul 2013 1125.73
Aug 2013 1116.60
Sep 2013 1082.64
Oct 2013 1066.44
Nov 2013 1061.94
Dec 2013 1056.11
Jan 2014 1067.52
Feb 2014 1071.64
Mar 2014 1070.98
Apr 2014 1043.21
May 2014 1025.22
Jun 2014 1019.15
Jul 2014 1021.34
Aug 2014 1024.16
Sep 2014 1036.22
Oct 2014 1060.90
Nov 2014 1098.74
Dec 2014 1103.76
Jan 2015 1088.52
Feb 2015 1102.44
Mar 2015 1114.08
Apr 2015 1085.65
May 2015 1094.11
Jun 2015 1113.90
Jul 2015 1147.27
Aug 2015 1179.00
Sep 2015 1185.25
Oct 2015 1144.21
Nov 2015 1154.77
Dec 2015 1175.01
Jan 2016 1204.20
Feb 2016 1217.09
Mar 2016 1183.31
Apr 2016 1146.84
May 2016 1175.14
Jun 2016 1166.02
Jul 2016 1141.99
Aug 2016 1111.00
Sep 2016 1109.31
Oct 2016 1129.19
Nov 2016 1164.25
Dec 2016 1183.14
Jan 2017 1180.13
Feb 2017 1141.40
Mar 2017 1133.62
Apr 2017 1135.22
May 2017 1126.38
Jun 2017 1131.73
Jul 2017 1132.71
Aug 2017 1131.46
Sep 2017 1133.05
Oct 2017 1132.25
Nov 2017 1100.50
Dec 2017 1084.53
Jan 2018 1066.79
Feb 2018 1079.44
Mar 2018 1071.52
Apr 2018 1068.89
May 2018 1077.19
Jun 2018 1095.25
Jul 2018 1123.22
Aug 2018 1120.88
Sep 2018 1120.43
Oct 2018 1132.34
Nov 2018 1126.00
Dec 2018 1122.70
Jan 2019 1121.85
Feb 2019 1122.37
Mar 2019 1132.36
Apr 2019 1143.17
May 2019 1183.15
Jun 2019 1172.90
Jul 2019 1177.92
Aug 2019 1210.58
Sep 2019 1194.33
Oct 2019 1183.52
Nov 2019 1168.86
Dec 2019 1174.77
Jan 2020 1167.94
Feb 2020 1195.97
Mar 2020 1218.68
Apr 2020 1223.45
May 2020 1229.24
Jun 2020 1207.34
Jul 2020 1198.42
Aug 2020 1186.26
Sep 2020 1177.26
Oct 2020 1144.08
Nov 2020 1114.88
Dec 2020 1094.71
Jan 2021 1099.79
Feb 2021 1112.39
Mar 2021 1130.97
Apr 2021 1117.46
May 2021 1122.96
Jun 2021 1122.88
Jul 2021 1146.33
Aug 2021 1161.53
Sep 2021 1173.41
Oct 2021 1181.11
Nov 2021 1184.69
Dec 2021 1184.02
Jan 2022 1195.89
Feb 2022 1198.55
Mar 2022 1220.92
Apr 2022 1237.23
May 2022 1267.10
Jun 2022 1279.22
Jul 2022 1308.85
Aug 2022 1321.85
Sep 2022 1394.97
Oct 2022 1427.43
Nov 2022 1358.03
Dec 2022 1296.10
Jan 2023 1243.22
Feb 2023 1278.22
Mar 2023 1305.47
Apr 2023 1323.60
May 2023 1328.92
Jun 2023 1296.58
Jul 2023 1282.32
Aug 2023 1323.66
Sep 2023 1334.94
Oct 2023 1350.95
Nov 2023 1305.18
Dec 2023 1310.18
